disease,description,symptoms
"Overview
    
 - 
      Chronic obstructive pulmonary disease (COPD)","Chronic obstructive pulmonary disease (COPD) is the name for a group of lung conditions that cause breathing difficulties.
COPD is a common condition that mainly affects middle-aged or older adults who smoke. Many people do not realise they have it.","The main symptoms of COPD are:
- shortness of breath, particularly when you're active
- a persistent chestycoughwith phlegm – some people may dismiss this as just a ""smoker's cough""
- frequentchest infections
- persistent wheezing
Without treatment, the symptoms usually get progressively worse. There may also be periods when they get suddenly worse, known as a flare-up or exacerbation.
Find out more about thesymptoms of COPD."
"Overview
    
 - 
      Chronic pancreatitis","Chronic pancreatitis is a condition where the pancreas has become permanently damaged from inflammation and stops working properly.
The pancreas is a small organ, located behind the stomach, that helps with digestion.","The most common symptom of chronic pancreatitis is repeated episodes of severe pain in your tummy (abdomen).
The pain usually develops in the middle or left side of your tummy and can move along your back.
It's been described as a burning or shooting pain that comes and goes, but may last for several hours or days.
Although the pain sometimes comes on after eating a meal, there's often no trigger. Some people might feel sick and vomit.
As the condition progresses, the painful episodes may become more frequent and severe.
Eventually, a constant dull pain can develop in your tummy, between episodes of severe pain.
This is most common in people who continue to drink alcohol after being diagnosed with chronic pancreatitis.
Some people who stop drinking alcohol and stop smoking may find the pain is less severe."
Chronic traumatic encephalopathy,"Chronic traumatic encephalopathy (CTE) is a brain condition thought to be linked to repeated head injuries and blows to the head. It slowly gets worse over time and leads to dementia, but the right help and support can manage the symptoms.
Early symptoms of chronic traumatic encephalopathy may not be noticeable at first.","- short-termmemory loss
- confusion, such as getting lost or not knowing what time of day it is
- difficulties with planning and organisation
- problems with movement"
Circumcision in boys,"Male circumcision is the surgical removal of the foreskin.
The foreskin is the roll of skin that covers the end of the penis.",N/A
Circumcision in men,"Circumcision is the surgical removal of the foreskin.
The foreskin is the retractable fold of skin that covers the end of the penis. It's a continuation of the skin that covers the whole penis.",N/A
Cirrhosis,"Cirrhosis is a condition where the liver is severely damaged. It can be life-threatening, but treatments and lifestyle changes can help stop it getting worse.
Many people who have cirrhosis do not have symptoms, especially early on.","Many people who have cirrhosis do not have symptoms, especially early on.
Early symptoms of cirrhosis may include:
- feeling tired or unwell all the time
- loss of appetite or losing weight without trying
- feeling or being sick
- tummy pain
- visible blood vessels on the skin
- blotchy red palms of the hands – the redness may be harder to see on brown or black skin
As cirrhosis gets worse, you may have other symptoms including:
- bleeding or bruising easily
- itchy skin
- changes to your fingers, such as them getting wider and curved (clubbed), or white nails
- yellow skin and whites of the eyes (jaundice) – yellowing of the skin may be harder to see on brown or black skin
- swollen tummy, legs, ankles or feet
- trembling hands
- slurred speech
- feeling confused or difficulty concentrating
- vomiting blood
- very dark or black poo
Men may also have bigger breasts than usual (gynaecomastia) or their testicles may get smaller."
"Overview
    
 - 
      Creutzfeldt-Jakob disease","Creutzfeldt-Jakob disease (CJD) is a rare and fatal condition that affects the brain. It causes brain damage that worsens rapidly over time.
Most people with CJD will die within a year of the symptoms starting, usually from infection.","Symptoms of CJD include:
- loss of intellect and memory
- changes in personality
- loss of balance and co-ordination
- slurred speech
- vision problems andblindness
- abnormal jerking movements
- progressive loss of brain function and mobility
Most people with CJD will die within a year of the symptoms starting, usually from infection.
This is because the immobility caused by CJD can make people with the condition vulnerable to infection.
Read more about thesymptoms of Creutzfeldt-Jakob diseaseanddiagnosing Creutzfeldt-Jakob disease."
"Overview
    
 - 
      Cleft lip and palate","A cleft is a gap or split in the upper lip and/or roof of the mouth (palate). It is present from birth.
The gap is there because parts of the baby's face did not join together properly during development in the womb.",N/A
Clinical trials,"A clinical trial compares the effects of 1 treatment with another. It may involve patients, healthy people, or both.
You can ask your doctor or a patient organisation if they know of any clinical trials that you may be eligible to join.","When you express interest in a trial, a doctor or nurse is likely to tell you something about it in person.
You'll also be given some printed information to take away.
You may come back with some questions you feel have not been answered."
Clostridium difficile (C. diff) infection,"Clostridium difficile (C. diff) is a type of bacteria that can cause diarrhoea. It often affects people who have been taking antibiotics. It can usually be treated with a different type of antibiotic.
Common symptoms of a C. diff infection include:","- diarrhoea
- a high temperature
- loss of appetite
- feeling sick
- a stomach ache"
Club foot,"Club foot (also called talipes) is where a baby is born with a foot or feet that turn in and under. Early treatment should correct it.
DR M.A. ANSARY/SCIENCE PHOTO LIBRARY https://www.sciencephoto.com/media/266601/view",N/A
Cluster headaches,"Cluster headaches are severe attacks of pain that can last for long periods. They're not caused by another illness. They can have a real impact on your life, but there are treatments that can help.
Cluster headaches are severe headaches that can happen multiple times a day and continue for weeks or months. They may stop for a while (weeks, months or years), or there may be no gap between headaches.","- a sharp, burning or piercing pain, usually on 1 side of the head, around the eye
- headaches that happen at the same time of year or at set times of the day
- headaches that start and stop quickly, without warning
- pain that can make you feel restless, you may want to walk around or move your body
- headaches that last between 15 minutes and 3 hours"
Tailbone (coccyx) pain,"Tailbone pain is pain in the bone at the base of the spine (coccyx), near the top of your bottom. There are things you can do to ease the pain, but get medical help if it does not get better after a few weeks.
The main symptom of tailbone (coccyx) pain is pain and tenderness at the base of your spine, near the top of your bottom.",N/A
"Overview
    
 - 
      Coeliac disease","Coeliac disease is a condition where your immune system attacks your own tissues when you eat gluten. This damages your gut (small intestine) so your body cannot properly take in nutrients.
Coeliac disease can cause a range of symptoms, including diarrhoea, abdominal pain and bloating.","Eating foods that contain gluten can trigger a range of gut symptoms, such as:
- diarrhoea, which may smell particularly unpleasant
- stomach aches
- bloating andfarting (flatulence)
- indigestion
- constipation
Coeliac disease can also cause more general symptoms, including:
- tiredness (fatigue)as a result of not getting enough nutrients from food (malnutrition)
- unintentional weight loss
- an itchy rash (dermatitis herpetiformis)
- problems getting pregnant (infertility)
- nerve damage (peripheral neuropathy)
- disorders that affect co-ordination, balance and speech (ataxia)
Children with coeliac disease may not grow at the expected rate and may havedelayed puberty."
