disease,input,symptoms
Coronary heart disease,"Coronary heart disease (CHD) is a major cause of death in the UK and worldwide. CHD is sometimes called ischaemic heart disease or coronary artery disease.
The main symptoms of coronary heart disease are: Symptoms: - chest pain(angina) - shortness of breath - pain in your neck, shoulders, jaw or arms - feeling faint - feeling sick (nausea)","- chest pain(angina) - shortness of breath - pain in your neck, shoulders, jaw or arms - feeling faint - feeling sick (nausea)"
COVID 19,"Get NHS advice about COVID-19, including its symptoms and what to do, how to avoid catching and spreading it, treatments, vaccinations and long-term effects. Symptoms: - a high temperature or shivering (chills) – a high temperature means you feel hot to touch on your chest or back (you do not need to measure your temperature) - a new, continuous cough – this means coughing a lot for more than an hour, or 3 or more coughing episodes in 24 hours - a loss or change to your sense of smell or taste - shortness of breath - feeling tired or exhausted - an aching body - a headache - a sore throat - a blocked or runny nose - loss of appetite - diarrhoea - feeling sick or being sick","- a high temperature or shivering (chills) – a high temperature means you feel hot to touch on your chest or back (you do not need to measure your temperature) - a new, continuous cough – this means coughing a lot for more than an hour, or 3 or more coughing episodes in 24 hours - a loss or change to your sense of smell or taste - shortness of breath - feeling tired or exhausted - an aching body - a headache - a sore throat - a blocked or runny nose - loss of appetite - diarrhoea - feeling sick or being sick"
Corticobasal degeneration,"Corticobasal degeneration (CBD) is a rare condition that can cause gradually worsening problems with movement, speech, memory and swallowing.
It's often also called corticobasal syndrome (CBS). Symptoms: - difficulty controlling your limb on one side of the body (a ""useless"" hand) - muscle stiffness - shaking (tremors), jerky movements and spasms (dystonia) - problems with balance and co-ordination - slow and slurred speech - symptoms of dementia, such as memory and visual problems - slow, effortful speech - difficulty swallowing","- difficulty controlling your limb on one side of the body (a ""useless"" hand) - muscle stiffness - shaking (tremors), jerky movements and spasms (dystonia) - problems with balance and co-ordination - slow and slurred speech - symptoms of dementia, such as memory and visual problems - slow, effortful speech - difficulty swallowing"
Cosmetic procedures,"This guide is for people looking for information about a cosmetic procedure.
Advice about things to consider if you're thinking about having a cosmetic procedure",
Costochondritis,"Costochondritis is inflammation where your ribs join the bone in the middle of your chest (breastbone). It can cause sharp chest pain, especially when moving or breathing. It usually gets better on its own over time.
Costochondritis may cause sharp pain in the front or side of your chest.",
Cough,"A cough will usually clear up on its own within 3 to 4 weeks.
There's usually no need to see a GP if you have a cough.",
Coughing up blood (blood in phlegm),"Coughing up blood can have lots of possible causes. It could be something serious so it's important to get it checked.
Common causes of coughing up blood include:",
COVID 19 rapid lateral flow test,"A COVID-19 rapid lateral flow is a test you do yourself to check for COVID-19. They are available for free on the NHS to people who are eligible for COVID-19 treatment.
If you want to get tested, but you're not eligible for COVID-19 treatment, you'll need to pay for the test yourself.",
Cradle cap,"Cradle cap is a harmless skin condition that's common in babies. It usually goes away on its own in 6 to 12 months, but there are things you can try to make it better.
The main symptom of cradle cap is patches of greasy, scaly skin.",
Craniosynostosis,"Craniosynostosis is a rare condition where a baby's skull does not grow properly and their head becomes an unusual shape. It's usually treated with surgery.
Babies' heads come in all shapes and sizes. It's normal for their head to be a slightly unusual shape. It will often get better as they grow. Symptoms: - learning difficulties - sight or hearing loss - breathing problems, like not being able to breathe through their mouth - dental problems, such as missing or crowded teeth","- learning difficulties - sight or hearing loss - breathing problems, like not being able to breathe through their mouth - dental problems, such as missing or crowded teeth"
Crohn's disease,"Crohn's disease is a lifelong condition where parts of the digestive system become inflamed.
It's one type of a condition called inflammatory bowel disease (IBD). Symptoms: - diarrhoea - stomach aches and cramps - blood in your poo - tiredness (fatigue) - weight loss",- diarrhoea - stomach aches and cramps - blood in your poo - tiredness (fatigue) - weight loss
